member_id,first_name,middle_name,last_name,birth_date,ssn,gender,address1,address2,city,state,zip,member_external_id
RI0000034,MARY,ANTHONY,MCDANIEL,,,FEMALE,,,,RI,,1597849003
RI0000035,GLORIA,THERESA,MORGAN,,,MALE,,,,RI,,1352820494
RI0000036,DANNY,,KNOX,,,MALE,,,,RI,,1258600693
RI0000037,MARIA,COREY,FISCHER,,,MALE,,,,RI,,1251716620
RI0000038,JULIE,KRYSTAL,BROCK,,,MALE,,,,RI,,1294396269
RI0000039,ANGELA,TIM,SIMS,,,MALE,,,,RI,,1501418945
RI0000040,REBECCA,SANDRA,SCHMIDT,,,MALE,,,,RI,,1893116369
RI0000041,JESSICA,,TAYLOR,,,MALE,,,,RI,,1772382449
RI0000042,STEVEN,THOMAS,NELSON,,,MALE,,,,RI,,1487358175
RI0000043,KATHERINE,,PATEL,,,FEMALE,,,,RI,,1799503134
RI0000044,AUDREY,,BISHOP,,,FEMALE,,,,RI,,1318220423
RI0000045,JILL,,PHILLIPS,,,FEMALE,,,,RI,,1152038922
RI0000046,SAMANTHA,,CARTER,,,MALE,,,,RI,,1875209242
RI0000047,GABRIELLA,,TATE,,,FEMALE,,,,RI,,1141744530
RI0000048,CHRISTINA,,RIVERA,,,MALE,,,,RI,,1700862269
RI0000049,RONALD,,MITCHELL,,,FEMALE,,,,RI,,1011052293
RI0000050,BRIAN,,CUEVAS,,,FEMALE,,,,RI,,1307406121
RI0000051,JEFFREY,,GOMEZ,,,FEMALE,,,,RI,,1754352383
RI0000052,SANDRA,TAYLOR,WEAVER,,,MALE,,,,RI,,1270812111
RI0000053,MICHAEL,,TORRES,,,FEMALE,,,,RI,,1174846222
RI0000054,JOSHUA,HEIDI,VEGA,,,FEMALE,,,,RI,,1462609120
RI0000055,MELISSA,DAWN,MARTIN,,,FEMALE,,,,RI,,1089961043
RI0000056,SAMUEL,,YODER,,,MALE,,,,RI,,1118525159
RI0000057,KARA,,LOGAN,,,FEMALE,,,,RI,,1632685801
RI0000058,ANNA,VIRGINIA,WELCH,,,MALE,,,,RI,,1639289911
RI0000059,EMMA,SARA,CARPENTER,,,MALE,,,,RI,,1208555415
RI0000060,JAMES,RONALD,STEWART,,,MALE,,,,RI,,1229842025
RI0000061,JOHN,DEBRA,VEGA,,,FEMALE,,,,RI,,1743784396
RI0000062,JILL,,GOMEZ,,,FEMALE,,,,RI,,1566215544
RI0000063,LAURA,MICHAEL,STEVENS,,,MALE,,,,RI,,1692335085
RI0000064,RALPH,CHAD,CHAPMAN,,,FEMALE,,,,RI,,1612949750
RI0000065,JAMES,,CASTILLO,,,MALE,,,,RI,,1746566463
RI0000066,ANTHONY,MELISSA,MANNING,,,FEMALE,,,,RI,,1895601154
RI0000067,LAUREN,,HAYES,,,FEMALE,,,,RI,,1440897830
RI0000068,MICHELLE,APRIL,ALVARADO,,,MALE,,,,RI,,1258281317
RI0000069,LISA,,RODRIGUEZ,,,FEMALE,,,,RI,,1919058580
RI0000070,TANYA,JESSE,SCOTT,,,FEMALE,,,,RI,,1675030659
RI0000071,BENJAMIN,,FORD,,,MALE,,,,RI,,1099314148
RI0000072,KIRSTEN,,STEWART,,,MALE,,,,RI,,1083188659
RI0000073,HEIDI,FELICIA,WRIGHT,,,MALE,,,,RI,,1365413896
RI0000074,BRENDAN,ERIK,HARTMAN,,,MALE,,,,RI,,1685596204
RI0000075,KELLY,,POPE,,,MALE,,,,RI,,1649101329
RI0000076,ANNA,,ROBERTS,,,FEMALE,,,,RI,,1597351233
RI0000077,HOLLY,,WILLIAMS,,,MALE,,,,RI,,1917227955
RI0000078,JAMES,,JONES,,,FEMALE,,,,RI,,1324808407
RI0000079,KIMBERLY,ERICA,THOMAS,,,FEMALE,,,,RI,,1931459871
RI0000080,MICHAEL,,HARDIN,,,FEMALE,,,,RI,,1370758740
RI0000081,ALAN,ROSS,GARCIA,,,FEMALE,,,,RI,,1494922387
RI0000082,JUSTIN,,PARKS,,,FEMALE,,,,RI,,1908483357
RI0000083,RACHAEL,,JUAREZ,,,MALE,,,,RI,,1396957306
RI0000084,CRYSTAL,THOMAS,RODRIGUEZ,,,FEMALE,,,,RI,,1025101118
RI0000085,ROBERT,STACEY,WALLACE,,,MALE,,,,RI,,1843719509
RI0000086,MICHELLE,TIFFANY,TOWNSEND,,,MALE,,,,RI,,1675030496
RI0000087,ROBERT,,BUCK,,,FEMALE,,,,RI,,1257141316
RI0000088,CRAIG,JACOB,MARTINEZ,,,MALE,,,,RI,,1452735061
RI0000089,JACQUELINE,TODD,GUTIERREZ,,,FEMALE,,,,RI,,1994217263
RI0000090,MARK,WILLIAM,WHITE,,,FEMALE,,,,RI,,1323623977
RI0000091,KATRINA,,LOGAN,,,FEMALE,,,,RI,,1749099498
RI0000092,ALEXIS,RONALD,STAFFORD,,,MALE,,,,RI,,1104791614
RI0000093,JONATHAN,,DRAKE,,,MALE,,,,RI,,1831447592
RI0000094,MICHAEL,BRIAN,JOHNSON,,,FEMALE,,,,RI,,1485061037
RI0000095,CHRISTOPHER,,RAMIREZ,,,FEMALE,,,,RI,,1126549154
RI0000096,DAVID,ALEX,BERRY,,,MALE,,,,RI,,1329820017
RI0000097,JOSEPH,,HANSEN,,,MALE,,,,RI,,1820122512
RI0000098,DEREK,MIGUEL,LARSON,,,FEMALE,,,,RI,,1674415301
RI0000099,SUSAN,,SWANSON,,,FEMALE,,,,RI,,1295922031
RI0000100,BELINDA,CHELSEY,MORRIS,,,FEMALE,,,,RI,,1152446103
RI0000101,DENNIS,ALEXANDER,WARD,,,MALE,,,,RI,,1445515932
RI0000102,REBECCA,,HERNANDEZ,,,FEMALE,,,,RI,,1524836979
RI0000103,KRISTY,,KENT,,,MALE,,,,RI,,1287496677
RI0000104,NICOLE,,CLARK,,,MALE,,,,RI,,1161891949
RI0000105,BRANDON,,MASON,,,MALE,,,,RI,,1320724767
RI0000106,LISA,,DORSEY,,,MALE,,,,RI,,1464853705
RI0000107,JERRY,,HODGE,,,FEMALE,,,,RI,,1159864820
RI0000108,MARK,,JONES,,,MALE,,,,RI,,1831477725
RI0000109,KAITLYN,DAKOTA,RODRIGUEZ,,,MALE,,,,RI,,1702010427
RI0000110,CURTIS,,GROSS,,,MALE,,,,RI,,1274194034
RI0000111,KRISTEN,ERIC,MILLER,,,MALE,,,,RI,,1677064719
RI0000112,PAMELA,,TURNER,,,MALE,,,,RI,,1468035438
RI0000113,JOSHUA,,CUNNINGHAM,,,MALE,,,,RI,,1785239188
RI0000114,BEVERLY,KAYLEE,BUTLER,,,MALE,,,,RI,,1566952924
RI0000115,ERIN,DANIELLE,WILKINSON,,,FEMALE,,,,RI,,1115623106
RI0000116,MONICA,,HERNANDEZ,,,MALE,,,,RI,,1228289392
RI0000117,VICTOR,,KIM,,,FEMALE,,,,RI,,1833534918
RI0000118,SANDRA,STACEY,THOMPSON,,,FEMALE,,,,RI,,1524039492
RI0000119,TIMOTHY,,HERNANDEZ,,,MALE,,,,RI,,1895860704
RI0000120,JULIE,JACK,RUIZ,,,FEMALE,,,,RI,,1676492138
RI0000121,BRITTANY,JASMINE,MATHIS,,,FEMALE,,,,RI,,1105449773
RI0000122,STANLEY,KAREN,BARNES,,,MALE,,,,RI,,1807353485
RI0000123,DANIELLE,MARGARET,DAVILA,,,MALE,,,,RI,,1494521290
RI0000124,TODD,RYAN,WILLIAMS,,,MALE,,,,RI,,1742367293
RI0000125,NICOLE,,JONES,,,MALE,,,,RI,,1780552661
RI0000126,SUSAN,,ANDERSON,,,MALE,,,,RI,,1027151413
RI0000127,BRITTANY,,DODSON,,,MALE,,,,RI,,1295819558
RI0000128,NICOLE,,CRAWFORD,,,MALE,,,,RI,,1250960397
RI0000129,JOHN,JON,OLSON,,,FEMALE,,,,RI,,1930478500
RI0000130,DERRICK,BRANDI,GARZA,,,FEMALE,,,,RI,,1583604825
RI0000131,MARTIN,JAMIE,PARKS,,,MALE,,,,RI,,1105216778
RI0000132,HOLLY,LORI,CASTRO,,,MALE,,,,RI,,1850978512
RI0000133,COURTNEY,,WHITE,,,FEMALE,,,,RI,,1333377416
RI0000134,ABIGAIL,JEFFERY,HERNANDEZ,,,FEMALE,,,,RI,,1519556022
RI0000135,ANDRE,CYNTHIA,BECKER,,,MALE,,,,RI,,1402211568
RI0000136,RICARDO,EDWARD,HOLLAND,,,MALE,,,,RI,,1553229501
RI0000137,ANA,JACQUELINE,YANG,,,FEMALE,,,,RI,,1205235955
RI0000138,SHANNON,BILLY,BARBER,,,FEMALE,,,,RI,,1594246687
RI0000139,PHYLLIS,,LITTLE,,,FEMALE,,,,RI,,1540268119
RI0000140,DAWN,,RAMSEY,,,MALE,,,,RI,,1402875560
RI0000141,MARGARET,,MATHIS,,,FEMALE,,,,RI,,1072490435
RI0000142,MICHAEL,,BARNES,,,FEMALE,,,,RI,,1399058034
RI0000143,SAVANNAH,,ROMAN,,,MALE,,,,RI,,1569918884
RI0000144,PATRICK,ASHLEY,JACKSON,,,FEMALE,,,,RI,,1857847393
RI0000145,SHELLEY,,THOMPSON,,,FEMALE,,,,RI,,1966227730
RI0000146,DANIELLE,,CUNNINGHAM,,,MALE,,,,RI,,1577896409
RI0000147,AUDREY,KEVIN,SCHWARTZ,,,FEMALE,,,,RI,,1258400752
RI0000148,JASMINE,,SANCHEZ,,,MALE,,,,RI,,1796329850
RI0000149,JASON,EMILY,JOHNSON,,,MALE,,,,RI,,1625047073
RI0000150,JENNIFER,REBECCA,VILLA,,,MALE,,,,RI,,1334507512
RI0000151,AMANDA,,WILKERSON,,,MALE,,,,RI,,1947591426
RI0000152,STEPHEN,,BENNETT,,,MALE,,,,RI,,1130237702
RI0000153,KAREN,,BOYD,,,FEMALE,,,,RI,,1884477262
RI0000154,SHANNON,,CHUNG,,,FEMALE,,,,RI,,1640567574
RI0000155,ZACHARY,,LOPEZ,,,MALE,,,,RI,,1408273169
RI0000156,RICHARD,,WEAVER,,,MALE,,,,RI,,1487825610
RI0000157,ANTHONY,RITA,LOPEZ,,,FEMALE,,,,RI,,1699049615
RI0000158,PHILIP,BILLY,STEVENS,,,MALE,,,,RI,,1106317188
RI0000159,CATHERINE,JERRY,CARNEY,,,FEMALE,,,,RI,,1392678688
RI0000160,ROBERT,DENNIS,STEWART,,,MALE,,,,RI,,1738917099
RI0000161,JIMMY,,HART,,,MALE,,,,RI,,1905048840
RI0000162,JOHNNY,DOUGLAS,SANCHEZ,,,FEMALE,,,,RI,,1836153112
RI0000163,ROBERT,STACEY,YOUNG,,,MALE,,,,RI,,1336756824
RI0000164,JOSEPH,,WILLIAMS,,,FEMALE,,,,RI,,1599081003
RI0000165,RICARDO,AMANDA,HENRY,,,MALE,,,,RI,,1218191734
RI0000166,JEREMY,MATTHEW,GIBBS,,,FEMALE,,,,RI,,1165649355
RI0000167,EDWARD,,ROBLES,,,MALE,,,,RI,,1709578703
RI0000168,MICHAEL,,WHITE,,,MALE,,,,RI,,1057737124
RI0000169,BRIAN,LAURIE,DOWNS,,,FEMALE,,,,RI,,1745734373
RI0000170,REBEKAH,GEORGE,FLORES,,,MALE,,,,RI,,1685167780
RI0000171,GARY,,RIDDLE,,,FEMALE,,,,RI,,1455601753
RI0000172,THOMAS,AMANDA,GONZALEZ,,,FEMALE,,,,RI,,1799766130
RI0000173,AMANDA,JILL,MIDDLETON,,,MALE,,,,RI,,1639671348
RI0000174,BARBARA,CRYSTAL,MURRAY,,,FEMALE,,,,RI,,1983302549
RI0000175,ANTHONY,ANNE,SNYDER,,,FEMALE,,,,RI,,1882023746
RI0000176,SAMUEL,,PALMER,,,MALE,,,,RI,,1089524381
RI0000177,CHRISTINE,,ELLIS,,,MALE,,,,RI,,1598930462
RI0000178,KELLIE,,SPEARS,,,FEMALE,,,,RI,,1558126628
RI0000179,KIMBERLY,JOHN,HINES,,,FEMALE,,,,RI,,1831356904
RI0000180,COURTNEY,,RAMOS,,,MALE,,,,RI,,1136755185
RI0000181,ELIZABETH,ROBERT,LEWIS,,,FEMALE,,,,RI,,1693479350
RI0000182,THERESA,MONIQUE,STONE,,,MALE,,,,RI,,1658408248
RI0000183,CARLOS,,MAXWELL,,,FEMALE,,,,RI,,1493712811
RI0000184,EDWARD,,MARTIN,,,FEMALE,,,,RI,,1133593364
RI0000185,IAN,,OWENS,,,FEMALE,,,,RI,,1667061449
RI0000186,SUSAN,,BROCK,,,MALE,,,,RI,,1452098128
RI0000187,MICHAEL,SAMUEL,MARTINEZ,,,MALE,,,,RI,,1747869523
RI0000188,JESSICA,DONNA,PETERSON,,,MALE,,,,RI,,1199762765
RI0000189,KATHERINE,JULIE,ERICKSON,,,MALE,,,,RI,,1088171227
RI0000190,NICOLE,,GALLOWAY,,,MALE,,,,RI,,1676571609
RI0000191,EDWARD,JANE,BELL,,,MALE,,,,RI,,1087444286
RI0000192,TANYA,,COOPER,,,MALE,,,,RI,,1645816889
RI0000193,CANDACE,,PAGE,,,FEMALE,,,,RI,,1513891005
RI0000194,JACQUELINE,,KHAN,,,FEMALE,,,,RI,,1172202143
RI0000195,CHRISTOPHER,,WRIGHT,,,MALE,,,,RI,,1046764409
RI0000196,ASHLEE,,HARRIS,,,MALE,,,,RI,,1226543894
RI0000197,JUSTIN,STEPHANIE,MYERS,,,MALE,,,,RI,,1643122393
RI0000198,MELISSA,,LOGAN,,,MALE,,,,RI,,1546013600
RI0000199,JESSICA,DIANE,STEIN,,,FEMALE,,,,RI,,1166020027
RI0000200,ALEXIS,LESLIE,EDWARDS,,,MALE,,,,RI,,1201134055
RI0000201,JESSICA,MEGAN,HUGHES,,,FEMALE,,,,RI,,1300895468
RI0000202,CYNTHIA,,MILLER,,,MALE,,,,RI,,1122777111
RI0000203,ANNA,,STRICKLAND,,,MALE,,,,RI,,1664148464
RI0000204,CATHERINE,JAMES,DOUGLAS,,,FEMALE,,,,RI,,1964876850
RI0000205,CHRISTINA,GABRIELLE,GILLESPIE,,,FEMALE,,,,RI,,1054441540
RI0000206,JENNIFER,,SANCHEZ,,,MALE,,,,RI,,1169846588
RI0000207,TRACEY,JESSICA,MORGAN,,,FEMALE,,,,RI,,1959085990
RI0000208,CHRISTOPHER,,CHOI,,,MALE,,,,RI,,1646525726
RI0000209,MATTHEW,,PETERS,,,MALE,,,,RI,,1712917799
RI0000210,TIMOTHY,KENDRA,WALKER,,,FEMALE,,,,RI,,1522933267
RI0000211,JOHN,BENJAMIN,DEAN,,,MALE,,,,RI,,1851239812
RI0000212,DARIN,KIMBERLY,FISHER,,,MALE,,,,RI,,1399377990
RI0000213,SUSAN,CARLA,WILLIAMS,,,MALE,,,,RI,,1542017098
RI0000214,SHANNON,JEFFREY,GLENN,,,FEMALE,,,,RI,,1801990998
RI0000215,KEVIN,BRANDON,KELLEY,,,FEMALE,,,,RI,,1222068249
RI0000216,JOSE,BRENDA,JONES,,,MALE,,,,RI,,1420400105
RI0000217,JAMES,,CUMMINGS,,,FEMALE,,,,RI,,1813055664
RI0000218,JOHN,SAMUEL,THOMAS,,,FEMALE,,,,RI,,1361023309
RI0000219,TAYLOR,,CAMACHO,,,MALE,,,,RI,,1028591099
RI0000220,DAKOTA,,BRIGGS,,,MALE,,,,RI,,1988948155
RI0000221,JESSICA,SCOTT,JOHNSON,,,FEMALE,,,,RI,,1061864894
RI0000222,JESSICA,SYLVIA,COLLINS,,,MALE,,,,RI,,1755978438
RI0000223,MARIA,,MEYER,,,MALE,,,,RI,,1767598121
RI0000224,KATHLEEN,,ELLIOTT,,,MALE,,,,RI,,1581711733
RI0000225,CATHERINE,,STEVENS,,,FEMALE,,,,RI,,1038865783
RI0000226,CURTIS,KURT,KENNEDY,,,MALE,,,,RI,,1774717688
RI0000227,CAROLYN,BRIAN,SMITH,,,MALE,,,,RI,,1465654407
RI0000228,CASSANDRA,,PITTMAN,,,FEMALE,,,,RI,,1957534381
RI0000229,LUIS,,LONG,,,FEMALE,,,,RI,,1086576331
RI0000230,MICHELLE,,NUNEZ,,,FEMALE,,,,RI,,1861374033
RI0000231,AUSTIN,,MARQUEZ,,,MALE,,,,RI,,1706655510
RI0000232,JORDAN,,BUSH,,,FEMALE,,,,RI,,1861920058
RI0000233,DILLON,PATRICK,WHITE,,,MALE,,,,RI,,1931923634
RI0000234,HEATHER,,GRIFFIN,,,MALE,,,,RI,,1340952296
RI0000235,SABRINA,LISA,HOWARD,,,FEMALE,,,,RI,,1562063060
RI0000236,NICHOLAS,SARAH,WALSH,,,FEMALE,,,,RI,,1781285372
RI0000237,EMILY,MEGAN,SANTIAGO,,,FEMALE,,,,RI,,1711334907
RI0000238,FRANCISCO,JESUS,SUAREZ,,,FEMALE,,,,RI,,1452910682
RI0000239,RUSSELL,JUSTIN,HOWARD,,,MALE,,,,RI,,1848253168
RI0000240,PAUL,SARAH,MARTIN,,,FEMALE,,,,RI,,1397795557
RI0000241,MEGAN,,MCCULLOUGH,,,FEMALE,,,,RI,,1644325285
RI0000242,JONATHAN,,WAGNER,,,FEMALE,,,,RI,,1829363470
RI0000243,SUSAN,REBECCA,JONES,,,FEMALE,,,,RI,,1535930414
RI0000244,ALLISON,JOHN,JACKSON,,,MALE,,,,RI,,1379981350
RI0000245,JOSHUA,MICHAEL,BAILEY,,,FEMALE,,,,RI,,1517810618
RI0000246,PAMELA,TIMOTHY,WATKINS,,,MALE,,,,RI,,1923381850
RI0000247,WILLIAM,,LOPEZ,,,MALE,,,,RI,,1078236867
RI0000248,AUDREY,,BROWN,,,MALE,,,,RI,,1099486465
RI0000249,MITCHELL,,JACKSON,,,MALE,,,,RI,,1386759749
RI0000250,AMANDA,,COLLINS,,,FEMALE,,,,RI,,1921964219
RI0000251,TERRY,,MAY,,,MALE,,,,RI,,1809266537
RI0000252,REBECCA,DAVID,DICKERSON,,,FEMALE,,,,RI,,1483405424
RI0000253,JOHN,,SCOTT,,,MALE,,,,RI,,1643928891
RI0000254,RYAN,,SMITH,,,MALE,,,,RI,,1365058942
RI0000255,SEAN,,MEYERS,,,FEMALE,,,,RI,,1766106194
RI0000256,MATTHEW,MARY,BURGESS,,,MALE,,,,RI,,1129902752
RI0000257,OLIVIA,BONNIE,MEADOWS,,,FEMALE,,,,RI,,1694135886
RI0000258,JEAN,,HOLMES,,,MALE,,,,RI,,1442771673
RI0000259,KATHY,,BROOKS,,,MALE,,,,RI,,1844008376
RI0000260,JAMES,,GALLOWAY,,,MALE,,,,RI,,1687135565
RI0000261,JOSHUA,,HARRIS,,,FEMALE,,,,RI,,1794274249
RI0000262,JESSICA,,MIDDLETON,,,MALE,,,,RI,,1892821108
RI0000263,ROBERT,,MARTINEZ,,,MALE,,,,RI,,1798330902
RI0000264,DANIEL,CURTIS,GEORGE,,,FEMALE,,,,RI,,1749821862
RI0000265,OSCAR,,CURTIS,,,FEMALE,,,,RI,,1282243093
RI0000266,JUSTIN,,COSTA,,,FEMALE,,,,RI,,1593291027
RI0000267,DENNIS,HEATHER,VASQUEZ,,,MALE,,,,RI,,1815361645
RI0000268,JASON,,MCKENZIE,,,FEMALE,,,,RI,,1748940861
RI0000269,KAREN,CHRISTOPHER,DENNIS,,,FEMALE,,,,RI,,1790874248
RI0000270,SAMUEL,,VELASQUEZ,,,FEMALE,,,,RI,,1155460108
RI0000271,ZOE,JASON,YOUNG,,,MALE,,,,RI,,1449726843
RI0000272,RHONDA,SHELBY,HALL,,,MALE,,,,RI,,1341016505
RI0000273,DENNIS,RODNEY,MORRIS,,,FEMALE,,,,RI,,1823829579
RI0000274,AMANDA,SHERI,DURAN,,,FEMALE,,,,RI,,1542475064
RI0000275,BRADLEY,,HILL,,,MALE,,,,RI,,1471462374
RI0000276,TIMOTHY,DUSTIN,WILSON,,,MALE,,,,RI,,1948740196
RI0000277,MICHAEL,,WILLIAMS,,,FEMALE,,,,RI,,1299466325
RI0000278,JACOB,DAVID,MORGAN,,,FEMALE,,,,RI,,1778424178
RI0000279,CHRISTINE,JASON,CLARK,,,MALE,,,,RI,,1204113596
RI0000280,JOSEPH,JOSE,THOMAS,,,MALE,,,,RI,,1126276061
RI0000281,YVETTE,CYNTHIA,RICHARDSON,,,FEMALE,,,,RI,,1599913107
RI0000282,SHELLY,,MCBRIDE,,,MALE,,,,RI,,1180129966
RI0000283,KIM,,BROCK,,,FEMALE,,,,RI,,1650813309
RI0000284,MARIA,ROBERT,GARCIA,,,FEMALE,,,,RI,,1637699688
RI0000285,CHRISTIAN,JESSICA,WILLIAMS,,,FEMALE,,,,RI,,1444611751
RI0000286,MICHAEL,LORI,BURKE,,,MALE,,,,RI,,1475690624
RI0000287,MICHELLE,,WATERS,,,MALE,,,,RI,,1258468669
RI0000288,TERESA,ZACHARY,BOLTON,,,MALE,,,,RI,,1497144642
RI0000289,KIMBERLY,DONNA,BARRETT,,,FEMALE,,,,RI,,1195627858
RI0000290,WILLIAM,,LOPEZ,,,FEMALE,,,,RI,,1406650190
RI0000291,SAMANTHA,,WILSON,,,MALE,,,,RI,,1922671823
RI0000292,DAVID,DAVID,HOLT,,,MALE,,,,RI,,1271449229
RI0000293,BEVERLY,DAVID,TAYLOR,,,FEMALE,,,,RI,,1494353861
RI0000294,KAREN,,SMITH,,,FEMALE,,,,RI,,1299323386
RI0000295,JOHN,,KENNEDY,,,MALE,,,,RI,,1621827951
RI0000296,NICOLE,,GOMEZ,,,MALE,,,,RI,,1715277405
RI0000297,CHRISTOPHER,,BROWN,,,FEMALE,,,,RI,,1532526383
RI0000298,TERESA,,ARNOLD,,,MALE,,,,RI,,1211475060
RI0000299,MICHAEL,,MCCANN,,,MALE,,,,RI,,1309111463
RI0000300,MICHAEL,,FOSTER,,,MALE,,,,RI,,1405766356
RI0000301,CHRISTINA,,LYNN,,,FEMALE,,,,RI,,1444384974
RI0000302,KIMBERLY,,BYRD,,,FEMALE,,,,RI,,1389025343
RI0000303,ASHLEY,,WILKINSON,,,FEMALE,,,,RI,,1562745595
RI0000304,ROBERT,CASSIDY,DICKSON,,,MALE,,,,RI,,1845433384
RI0000305,MARY,,ROMERO,,,FEMALE,,,,RI,,1729678754
RI0000306,MISTY,,KLINE,,,MALE,,,,RI,,1795945256
RI0000307,ANDREW,,TREVINO,,,MALE,,,,RI,,1967055254
RI0000308,ASHLEY,,BAILEY,,,MALE,,,,RI,,1646875253
RI0000309,BILLY,JEFFREY,SMITH,,,MALE,,,,RI,,1929229429
RI0000310,EILEEN,,GOLDEN,,,MALE,,,,RI,,1533904404
RI0000311,LUCAS,,CAMPBELL,,,FEMALE,,,,RI,,1156496826
RI0000312,BRENDA,,CLINE,,,FEMALE,,,,RI,,1315220014
RI0000313,RACHEL,,ROBINSON,,,FEMALE,,,,RI,,1964746388
RI0000314,EMILY,STEVEN,CLARK,,,MALE,,,,RI,,1539348144
RI0000315,DAMON,,OCHOA,,,FEMALE,,,,RI,,1580613174
RI0000316,AMBER,MICHAEL,HERNANDEZ,,,MALE,,,,RI,,1375363509
RI0000317,MARK,ADAM,TAYLOR,,,MALE,,,,RI,,1487909383
RI0000318,SHANE,DREW,WARD,,,MALE,,,,RI,,1884004380
RI0000319,MARK,SHANNON,KELLEY,,,MALE,,,,RI,,1747412112
RI0000320,FELICIA,RAYMOND,BECKER,,,MALE,,,,RI,,1413986972
RI0000321,PHILLIP,ANDREW,WALLACE,,,FEMALE,,,,RI,,1793409618
RI0000322,RACHEL,CAMERON,OWEN,,,FEMALE,,,,RI,,1794827796
RI0000323,JACOB,BENJAMIN,YU,,,MALE,,,,RI,,1792325826
RI0000324,ADAM,JILL,HENDERSON,,,MALE,,,,RI,,1302493178
RI0000325,JERRY,,CARROLL,,,FEMALE,,,,RI,,1732686348
RI0000326,SARA,CRAIG,TYLER,,,FEMALE,,,,RI,,1182487035
RI0000327,THOMAS,,HARRIS,,,FEMALE,,,,RI,,1303158570
RI0000328,DANIELLE,KAREN,SMITH,,,FEMALE,,,,RI,,1425248080
RI0000329,SHARON,,ORTIZ,,,MALE,,,,RI,,1425537839
RI0000330,CYNTHIA,MARY,SHAFFER,,,MALE,,,,RI,,1233303556
RI0000331,JASON,LISA,BENTON,,,FEMALE,,,,RI,,1961381245
RI0000332,KATHERINE,RYAN,OLIVER,,,MALE,,,,RI,,1260688052
RI0000333,NICOLE,JOHN,RODRIGUEZ,,,MALE,,,,RI,,1294494708
RI0000334,TIFFANY,KATHRYN,CLINE,,,FEMALE,,,,RI,,1356515648
RI0000335,ROGER,CHRISTOPHER,MIRANDA,,,MALE,,,,RI,,1495347531
RI0000336,ALEXA,,YOUNG,,,FEMALE,,,,RI,,1837061342
RI0000337,BARBARA,,SCOTT,,,MALE,,,,RI,,1184210256
RI0000338,ARIEL,STEVEN,GOMEZ,,,FEMALE,,,,RI,,1114593252
RI0000339,BRITTANY,NICHOLAS,JENSEN,,,MALE,,,,RI,,1984999825
RI0000340,CYNTHIA,,PETERS,,,MALE,,,,RI,,1594161782
RI0000341,SEAN,MICHELLE,WALKER,,,MALE,,,,RI,,1800562863
RI0000342,CHARLES,JAMIE,WHITE,,,MALE,,,,RI,,1961952818
