RECID,FIRSTNAME,MIDDLENAME,LASTNAME,NAMESUFFIX,SASID,RECORDFOUND,SEARCHDATE,COLLEGECODE,COLLEGENAME,COLLEGESTATE,COLLEGETYPE,PUBLICPRIVATE,ENROLLBEGIN,ENROLLEND,ENROLLSTATUS,GRADUATED,GRADUATIONDATE,DEGREETITLE,MAJOR,COLLEGESEQ,CREDIT,ENROLLFIRST,ENROLLLAST,HSGRADDATE,HSEXITTYPE,HSCODE,HSNAME,DISTCODE,DISTNAME,SEX,RACE,RACE7,LUNCH,IEP,LEP,
900051,JEFFREY,,GOMEZ,,1754352383,Y,NULL,007468-00,COMMUNITY COLLEGE OF RHODE ISLAND,RI,2-year,Public,00:00.0,00:00.0,H,Y,00:00.0,AS,BUSINESS,4,0.25,00:00.0,00:00.0,00:00.0,18,12005,Classical High School,12,Providence,F,H,MU7,Y,N,N,
900052,PATRICIA,BRANDON,SANTANA,,1728019445,Y,NULL,003404-00,BROWN UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,G,N,NULL,,,2,0.25,00:00.0,00:00.0,00:00.0,17,33015,Coventry High School,33,Coventry,F,H,MU7,N,N,N,
900053,PATRICIA,BRANDON,SANTANA,,1728019445,Y,NULL,001276-00,WEST HILLS COMMUNITY COLLEGE,CA,2-year,Public,00:00.0,00:00.0,G,N,NULL,,,3,1,00:00.0,00:00.0,00:00.0,17,33015,Coventry High School,33,Coventry,F,H,MU7,N,N,N,
900054,PATRICIA,BRANDON,SANTANA,,1728019445,Y,NULL,003508-00,COMMUNITY COLLEGE OF CONNECTICUT,RI,2-year,Public,00:00.0,00:00.0,A,N,NULL,,,4,0.5,00:00.0,00:00.0,00:00.0,17,33015,Coventry High School,33,Coventry,F,H,MU7,N,N,N,
900055,AMY,,MAYER,,1773590541,Y,NULL,003410-00,PROVIDENCE COLLEGE,RI,4-year,Private,00:00.0,00:00.0,W,N,NULL,,,2,0,00:00.0,00:00.0,00:00.0,15,12005,Classical High School,12,Providence,F,W,BL7,N,N,N,
900056,STEPHANIE,CHARLES,HALL,,1555914801,Y,NULL,003410-00,PROVIDENCE COLLEGE,RI,4-year,Private,00:00.0,00:00.0,W,N,NULL,,,2,0.5,00:00.0,00:00.0,00:00.0,16,41020,La Salle Academy,41,Private,M,I,HI7,N,N,Y,
900057,DAVID,MARIA,KNOX,,1660293573,Y,NULL,002120-00,BRYANT UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,G,Y,00:00.0,BS,NURSING,2,0.5,00:00.0,00:00.0,00:00.0,16,96107,Mt. Hope High School,96,Bristol Warren,M,A,MU7,N,Y,Y,
900058,SANDRA,STACEY,THOMPSON,,1524039492,Y,NULL,001276-00,WEST HILLS COMMUNITY COLLEGE,CA,2-year,Public,00:00.0,00:00.0,Q,N,NULL,,,2,0,00:00.0,00:00.0,00:00.0,15,12005,Classical High School,12,Providence,F,W,AS7,N,Y,Y,
900059,BRANDY,,DENNIS,,1173984402,Y,NULL,003414-00,SALVE REGINA UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,F,N,NULL,,,2,0.25,00:00.0,00:00.0,00:00.0,16,96107,Mt. Hope High School,96,Bristol Warren,M,E,WH7,N,Y,Y,
900060,BRANDY,,DENNIS,,1173984402,Y,NULL,007468-00,COMMUNITY COLLEGE OF RHODE ISLAND,RI,2-year,Public,00:00.0,00:00.0,W,Y,00:00.0,BA,NURSING,3,1,00:00.0,00:00.0,00:00.0,16,96107,Mt. Hope High School,96,Bristol Warren,M,E,WH7,N,Y,Y,
900061,BRANDY,,DENNIS,,1173984402,Y,NULL,003407-00,RHODE ISLAND COLLEGE,RI,4-year,Public,00:00.0,00:00.0,A,Y,00:00.0,BA,BUSINESS,4,1,00:00.0,00:00.0,00:00.0,16,96107,Mt. Hope High School,96,Bristol Warren,M,E,WH7,N,Y,Y,
900062,CHRISTOPHER,CHRISTINE,SHEPHERD,,1637985340,Y,NULL,003401-00,UNIVERSITY OF RHODE ISLAND,RI,4-year,Public,00:00.0,00:00.0,G,N,NULL,,,2,0.25,00:00.0,00:00.0,00:00.0,16,33015,Coventry High School,33,Coventry,M,H,BL7,Y,N,Y,
900063,CHRISTOPHER,CHRISTINE,SHEPHERD,,1637985340,Y,NULL,002120-00,BRYANT UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,W,Y,00:00.0,AS,BIOLOGY,3,1,00:00.0,00:00.0,00:00.0,16,33015,Coventry High School,33,Coventry,M,H,BL7,Y,N,Y,
900064,ANNA,VIRGINIA,WELCH,,1639289911,Y,NULL,003508-00,COMMUNITY COLLEGE OF CONNECTICUT,RI,2-year,Public,00:00.0,00:00.0,Q,N,NULL,,,2,0.5,00:00.0,00:00.0,00:00.0,18,12005,Classical High School,12,Providence,M,B,WH7,Y,N,N,
900065,ANNA,VIRGINIA,WELCH,,1639289911,Y,NULL,003401-00,UNIVERSITY OF RHODE ISLAND,RI,4-year,Public,00:00.0,00:00.0,F,N,NULL,,,3,0.25,00:00.0,00:00.0,00:00.0,18,12005,Classical High School,12,Providence,M,B,WH7,Y,N,N,
900066,ANNA,VIRGINIA,WELCH,,1639289911,Y,NULL,009823-00,JOHNSON & WALES UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,G,N,NULL,,,4,0.25,00:00.0,00:00.0,00:00.0,18,12005,Classical High School,12,Providence,M,B,WH7,Y,N,N,
900067,DANIEL,HECTOR,HALE,,1000498628,Y,NULL,003404-00,BROWN UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,Q,N,NULL,,,2,0,00:00.0,00:00.0,00:00.0,18,28010,Cranston High School East,28,Cranston,F,A,BL7,N,Y,Y,
900068,DANIEL,HECTOR,HALE,,1000498628,Y,NULL,001276-00,WEST HILLS COMMUNITY COLLEGE,CA,2-year,Public,00:00.0,00:00.0,A,N,NULL,,,3,0.5,00:00.0,00:00.0,00:00.0,18,28010,Cranston High School East,28,Cranston,F,A,BL7,N,Y,Y,
900069,DAVID,,JOHNSON,,1066015826,Y,NULL,001276-00,WEST HILLS COMMUNITY COLLEGE,CA,2-year,Public,00:00.0,00:00.0,W,N,NULL,,,2,0.25,00:00.0,00:00.0,00:00.0,15,58030,South Kingstown High School,58,South Kingstown,M,A,AI7,N,N,Y,
900070,DALE,,MATHEWS,,1723107041,Y,NULL,003508-00,COMMUNITY COLLEGE OF CONNECTICUT,RI,2-year,Public,00:00.0,00:00.0,F,N,NULL,,,2,1,00:00.0,00:00.0,00:00.0,16,58030,South Kingstown High School,58,South Kingstown,F,A,WH7,Y,Y,N,
900071,CHRISTINE,JASON,CLARK,,1204113596,Y,NULL,003410-00,PROVIDENCE COLLEGE,RI,4-year,Private,00:00.0,00:00.0,A,N,NULL,,,2,0,00:00.0,00:00.0,00:00.0,18,28010,Cranston High School East,28,Cranston,M,H,WH7,Y,Y,Y,
900072,STEVEN,THOMAS,NELSON,,1487358175,Y,NULL,003401-00,UNIVERSITY OF RHODE ISLAND,RI,4-year,Public,00:00.0,00:00.0,F,N,NULL,,,2,0,00:00.0,00:00.0,00:00.0,15,58030,South Kingstown High School,58,South Kingstown,M,A,HI7,N,N,Y,
900073,CYNTHIA,MARY,SHAFFER,,1233303556,Y,NULL,003414-00,SALVE REGINA UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,Q,N,NULL,,,2,1,00:00.0,00:00.0,00:00.0,18,96107,Mt. Hope High School,96,Bristol Warren,M,E,AS7,N,Y,Y,
900074,RICARDO,MICHELLE,SHIELDS,,1638213890,Y,NULL,003414-00,SALVE REGINA UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,H,Y,00:00.0,AS,NURSING,2,0.5,00:00.0,00:00.0,00:00.0,18,41020,La Salle Academy,41,Private,F,A,BL7,Y,N,Y,
900075,RICARDO,MICHELLE,SHIELDS,,1638213890,Y,NULL,002120-00,BRYANT UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,F,N,NULL,,,3,0.5,00:00.0,00:00.0,00:00.0,18,41020,La Salle Academy,41,Private,F,A,BL7,Y,N,Y,
900076,JACQUELINE,,KHAN,,1172202143,Y,NULL,003508-00,COMMUNITY COLLEGE OF CONNECTICUT,RI,2-year,Public,00:00.0,00:00.0,A,Y,00:00.0,BA,BIOLOGY,2,1,00:00.0,00:00.0,00:00.0,17,33015,Coventry High School,33,Coventry,F,E,WH7,N,N,Y,
900077,LARRY,,GONZALEZ,,1192657063,Y,NULL,003508-00,COMMUNITY COLLEGE OF CONNECTICUT,RI,2-year,Public,00:00.0,00:00.0,F,N,NULL,,,2,0.25,00:00.0,00:00.0,00:00.0,18,41020,La Salle Academy,41,Private,M,W,AS7,Y,Y,Y,
900078,LARRY,,GONZALEZ,,1192657063,Y,NULL,001276-00,WEST HILLS COMMUNITY COLLEGE,CA,2-year,Public,00:00.0,00:00.0,G,N,NULL,,,3,1,00:00.0,00:00.0,00:00.0,18,41020,La Salle Academy,41,Private,M,W,AS7,Y,Y,Y,
900079,MICHAEL,GLORIA,WILSON,,1724457404,Y,NULL,003401-00,UNIVERSITY OF RHODE ISLAND,RI,4-year,Public,00:00.0,00:00.0,Q,N,NULL,,,2,1,00:00.0,00:00.0,00:00.0,18,58030,South Kingstown High School,58,South Kingstown,F,E,BL7,N,N,Y,
900080,MICHAEL,GLORIA,WILSON,,1724457404,Y,NULL,003404-00,BROWN UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,A,Y,00:00.0,BA,NURSING,3,1,00:00.0,00:00.0,00:00.0,18,58030,South Kingstown High School,58,South Kingstown,F,E,BL7,N,N,Y,
900081,MICHAEL,GLORIA,WILSON,,1724457404,Y,NULL,003407-00,RHODE ISLAND COLLEGE,RI,4-year,Public,00:00.0,00:00.0,A,N,NULL,,,4,0,00:00.0,00:00.0,00:00.0,18,58030,South Kingstown High School,58,South Kingstown,F,E,BL7,N,N,Y,
900082,MICHAEL,GLORIA,WILSON,,1724457404,Y,NULL,003407-00,RHODE ISLAND COLLEGE,RI,4-year,Public,00:00.0,00:00.0,Q,N,NULL,,,5,0.5,00:00.0,00:00.0,00:00.0,18,58030,South Kingstown High School,58,South Kingstown,F,E,BL7,N,N,Y,
900083,AARON,JEFFREY,HUNTER,,1707140800,Y,NULL,003404-00,BROWN UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,H,N,NULL,,,2,0,00:00.0,00:00.0,00:00.0,18,28010,Cranston High School East,28,Cranston,F,B,AS7,Y,Y,Y,
900084,AARON,JEFFREY,HUNTER,,1707140800,Y,NULL,041713-00,"WEST HILLS COLLEGE, LEMOORE",CA,2-year,Public,00:00.0,00:00.0,Q,Y,00:00.0,BS,BUSINESS,3,0.5,00:00.0,00:00.0,00:00.0,18,28010,Cranston High School East,28,Cranston,F,B,AS7,Y,Y,Y,
900085,TIFFANY,,LEWIS,,1498878625,Y,NULL,003508-00,COMMUNITY COLLEGE OF CONNECTICUT,RI,2-year,Public,00:00.0,00:00.0,W,Y,00:00.0,BS,BIOLOGY,2,1,00:00.0,00:00.0,00:00.0,17,12005,Classical High School,12,Providence,M,E,WH7,Y,Y,Y,
900086,ANGELA,,PAYNE,,1053635367,Y,NULL,041713-00,"WEST HILLS COLLEGE, LEMOORE",CA,2-year,Public,00:00.0,00:00.0,A,N,NULL,,,2,0,00:00.0,00:00.0,00:00.0,18,58030,South Kingstown High School,58,South Kingstown,F,H,HI7,N,Y,N,
900087,ANGELA,,PAYNE,,1053635367,Y,NULL,007468-00,COMMUNITY COLLEGE OF RHODE ISLAND,RI,2-year,Public,00:00.0,00:00.0,F,N,NULL,,,3,0,00:00.0,00:00.0,00:00.0,18,58030,South Kingstown High School,58,South Kingstown,F,H,HI7,N,Y,N,
